Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Durchschnittliche Balance der Bodenkontaktzeit,Ø Trittfrequenz,Max. Trittfrequenz,Training Stress Score®,Ø Leistung,Max. Leistung,Grit,Flow,Züge insgesamt,Ø Swolf,Ø Schlagrate,Wiederholungen insgesamt,Sätze insgesamt,Routen insgesamt,Kletterzeit,Pausenzeit insgesamt,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Krafttraining,2022-12-30 17:39:26,false,"Krafttraining A","0,00","491","01:29:40","113","146","1,3","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","255","25","--","--","--","0:00","24,0","0:00","Nein","01:29:40.25.4","1","0,0","00:55:56","01:29:40","--","--"
Radfahren,2022-12-28 12:28:36,false,"Würzburg Radfahren","1,74","77","00:08:23,9","128","150","1,2","0","0","12,4","30,4","41","1","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","08:23.94.9","1","0,0","00:07:09","00:08:23,9","179","220"
Radfahren,2022-12-28 11:15:35,false,"Würzburg Radfahren","3,28","112","00:18:06","110","130","0,6","0","0","10,9","18,6","23","14","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","26,0","0:00","Nein","18:05.66","1","0,0","00:14:28","00:18:06","174","185"
Krafttraining,2022-12-28 09:21:20,false,"Krafttraining B","0,00","480","01:38:45","105","159","0,9","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","323","29","--","--","--","0:00","23,0","0:00","Nein","01:38:44.92.2","1","0,0","01:00:01","01:39:24","--","--"
Radfahren,2022-12-28 08:51:44,false,"Würzburg Radfahren","5,01","163","00:18:22","127","155","2,0","0","0","16,4","37,0","25","55","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","00:14.96.5","2","0,0","00:16:03","00:18:22","186","199"
Krafttraining,2022-12-26 18:16:20,false,"Krafttraining A","0,00","531","01:24:59","122","156","2,3","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","249","30","--","--","--","0:00","27,0","0:00","Nein","01:24:58.67","1","0,0","00:31:40","01:32:24","--","--"
Laufen,2022-12-25 20:10:25,false,"Würzburg Laufen","4,49","348","00:26:34","165","185","3,4","155","164","5:55","4:47","245","70","1,09","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","26:33.87.4","1","0,0","00:26:24","00:29:41","3","216"
Krafttraining,2022-12-23 17:26:31,false,"Krafttraining B","0,00","381","01:03:16","115","158","2,0","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","253","25","--","--","--","0:00","25,0","0:00","Nein","01:03:15.84.5","1","0,0","00:32:33","01:03:16","--","--"
Radfahren,2022-12-23 11:48:41,false,"Würzburg Radfahren","3,83","158","00:23:12","116","131","0,9","0","0","9,9","34,6","56","103","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","23:12.25.3","1","0,0","00:16:33","00:23:12","195","223"
Radfahren,2022-12-21 10:04:12,false,"Würzburg Radfahren","4,75","171","00:27:10","112","149","1,1","0","0","10,5","26,3","42","43","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","27:10.29.7","1","0,0","00:22:36","00:27:10","176","201"
Krafttraining,2022-12-21 08:29:14,false,"Krafttraining A","0,00","394","01:22:28","104","135","0,5","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","231","24","--","--","--","0:00","22,0","0:00","Nein","01:22:28.37.1","1","0,0","00:49:37","01:22:28","--","--"
Radfahren,2022-12-21 07:56:35,false,"Würzburg Radfahren","5,17","161","00:20:51","119","150","1,5","0","0","14,9","93,9","24","33","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","01:00.73.5","2","0,0","00:17:33","00:20:51","210","228"
Sonstige,2022-12-19 19:21:28,false,"Würzburg Aa","2,68","834","01:37:37","148","193","3,9","18","240","1,6","25,7","141","181","1,73","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","20:40.17.6","3","0,0","00:45:18","01:37:37","140","197"
Krafttraining,2022-12-16 17:20:59,false,"Krafttraining B","0,00","358","01:13:14","105","132","0,5","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","191","23","--","--","--","0:00","23,0","0:00","Nein","01:13:13.67.3","1","0,0","00:40:34","01:13:14","--","--"
Radfahren,2022-12-14 09:52:47,false,"Würzburg Radfahren","4,74","216","00:25:09","126","154","2,1","0","0","11,3","19,7","47","28","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","25:08.55.2","1","0,0","00:21:42","00:25:09","177","208"
Krafttraining,2022-12-14 08:18:41,false,"Krafttraining A","0,00","431","01:18:15","112","141","1,2","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","249","27","--","--","--","0:00","22,0","0:00","Nein","01:18:14.65.3","1","0,0","00:44:38","01:20:50","--","--"
Radfahren,2022-12-14 07:47:05,false,"Würzburg Radfahren","5,01","183","00:19:19","132","171","2,3","0","0","15,6","37,4","23","30","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","00:29.93.8","2","0,0","00:16:24","00:23:52","184","199"
Radfahren,2022-12-09 19:14:01,false,"Würzburg Radfahren","4,70","395","01:09:47","113","143","1,3","0","0","4,0","41,5","58","158","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","17,0","0:00","Nein","00:01.32.2","2","0,0","00:37:23","01:09:47","176","221"
Bouldern,2022-12-09 17:16:59,false,"Bouldern","--","462","01:31:12","107","147","0,8","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","6","9:56","1:21:15","0:00","24,0","0:00","Nein","01:31:11.65.8","1","0,0","00:00:00","01:31:12","--","--"
